City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,3.91,75,75,6.17,SJ,1694290049
1,port-aux-francais,-49.35,70.2167,1.34,72,32,19.5,TF,1694290049
2,tongliao,43.6125,122.2653,15.3,83,28,2.43,CN,1694290049
3,umluj,25.0213,37.2685,31.52,64,81,3.85,SA,1694290049
4,gopalpur,19.2667,84.9167,27.82,87,65,4.63,IN,1694290050
5,hasaki,35.7333,140.8333,24.05,92,75,4.58,JP,1694290050
6,thompson,55.7435,-97.8558,13.09,71,75,4.63,CA,1694289767
7,catumbela,-12.4314,13.5472,20.87,81,51,1.54,AO,1694290050
8,waitangi,-43.9535,-176.5597,11.57,92,22,2.68,NZ,1694290051
9,bethel,41.3712,-73.414,29.19,86,20,2.06,US,1694290051
10,saipan,15.1355,145.701,28.39,83,20,4.63,MP,1694290051
11,tiksi,71.6872,128.8694,1.61,78,100,2.48,RU,1694290051
12,road town,18.4167,-64.6167,33.05,70,40,2.57,VG,1694290044
13,yellowknife,62.456,-114.3525,20.79,55,86,1.34,CA,1694290052
14,huarmey,-10.0681,-78.1522,22.43,69,91,5.0,PE,1694290052
15,vadso,70.0744,29.7487,18.49,82,24,1.03,NO,1694290052
16,ushuaia,-54.8,-68.3,4.55,83,76,3.28,AR,1694290052
17,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,81,0,3.0,RU,1694290053
18,mount isa,-20.7333,139.5,18.87,13,30,4.12,AU,1694290053
19,sur,22.5667,59.5289,29.05,66,37,6.95,OM,1694290053
20,qaqortoq,60.7167,-46.0333,6.21,54,0,3.22,GL,1694290054
21,badger,64.8,-147.5333,16.14,63,40,5.14,US,1694290054
22,adamstown,-25.066,-130.1015,20.96,87,100,6.34,PN,1694289788
23,gadzhiyevo,69.2551,33.3362,15.18,88,91,6.63,RU,1694290054
24,fort st. john,56.2499,-120.8529,19.52,37,9,2.97,CA,1694290054
25,palau,7.503,134.621,26.8,82,100,6.09,PW,1694290055
26,rabaul,-4.1967,152.1721,26.3,76,90,3.13,PG,1694290055
27,fale old settlement,-9.3852,-171.2468,27.94,73,96,3.52,TK,1694290055
28,carentan,49.3031,-1.2481,21.82,80,41,3.12,FR,1694290055
29,zelenogorskiy,55.0333,87.0,9.24,87,98,1.21,RU,1694290056
30,port hueneme,34.1478,-119.1951,38.21,44,40,6.17,US,1694290056
31,edinburgh of the seven seas,-37.0676,-12.3116,9.63,56,92,12.15,SH,1694290056
32,puerto natales,-51.7236,-72.4875,8.72,67,83,4.26,CL,1694290057
33,vila franca do campo,37.7167,-25.4333,21.23,77,62,2.48,PT,1694290057
34,san antonio de pale,-1.4014,5.6325,24.01,82,88,4.36,GQ,1694290057
35,praia da vitoria,38.7333,-27.0667,22.64,74,56,4.19,PT,1694290058
36,papatowai,-46.5619,169.4708,9.08,71,13,1.35,NZ,1694290058
37,punta arenas,-53.15,-70.9167,6.06,81,0,10.8,CL,1694290058
38,bilibino,68.0546,166.4372,3.41,76,100,2.69,RU,1694290058
39,iqaluit,63.7506,-68.5145,5.39,70,52,4.02,CA,1694290059
